sex,sexpref,age,alex,alexander,alfred,ambroz,arnold,arpad,bedrich,blazej,bretislav,cestmir,ctirad,dalimil,david,frederik,gabriel,herbert,herman,hynek,igor,ivan,ivan2,jan,josef,justin,kamil,kazimir,kristian,lumir,mike,mikulas,milos,miroslav,miroslav1,mojmir,oldrich,oleg,patrik,petrb,pravoslav,rehor,robin,rudolf,slavomir,stefan,svatopluk,tomas,tomasi,vincent,vladislav,vlastimil
male,women,18.6,1,6,1,1,1,4,3,1,5,1,1,2,4,1,5,5,1,2,1,3,3,1,3,3,3,1,1,2,5,5,5,1,1,1,1,5,1,1,3,1,3,6,2,1,5,1,1,1,5,3
male,women,37.2,2,3,1,3,2,3,2,1,3,1,4,2,4,1,2,2,1,3,2,4,2,2,3,4,1,1,1,5,4,2,5,1,4,4,2,4,2,3,2,1,2,3,3,2,1,1,2,1,4,2
male,women,19.2,5,5,3,4,4,5,4,5,6,4,5,3,5,3,4,5,2,3,4,3,4,3,4,6,3,2,2,4,7,4,6,4,4,4,4,5,3,5,5,5,3,4,5,4,3,3,3,3,5,6
male,women,27.4,4,4,2,2,2,4,3,3,3,3,2,2,2,2,3,5,2,4,3,2,5,3,3,5,3,2,2,3,5,4,5,3,2,4,2,3,3,4,2,2,3,3,3,2,3,4,2,2,5,5
male,women,27.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,women,22.9,3,3,3,2,3,2,2,3,5,3,2,2,4,3,3,3,4,1,4,3,3,4,3,5,2,1,5,3,3,4,4,3,3,3,4,2,3,5,1,5,5,4,7,2,4,2,1,4,3,3
male,women,35.2,2,3,1,2,3,2,2,2,1,3,2,2,3,1,2,3,2,2,3,2,2,2,2,2,2,1,1,2,4,3,3,2,2,3,4,5,2,2,2,4,2,3,4,1,3,3,1,1,4,4
male,women,29.6,2,4,2,2,2,2,1,4,3,3,3,1,2,2,4,5,1,3,4,2,2,4,3,3,1,2,2,3,4,3,5,1,3,3,3,3,5,3,1,4,2,3,2,2,3,3,4,2,5,3
male,women,31.8,1,3,2,1,2,2,3,1,2,2,3,2,4,2,1,2,1,2,2,2,3,1,2,2,2,1,2,2,2,3,3,2,3,2,1,2,1,2,2,3,1,2,2,2,3,1,2,1,3,3
male,women,35.6,1,4,1,4,2,2,2,3,2,2,4,2,5,2,1,4,1,5,5,2,2,4,3,5,2,1,2,2,5,1,6,1,3,5,4,3,3,2,1,3,3,1,4,1,1,4,1,1,4,5
